X,Y
44.02010494,-92.43931254
45.31536792,-96.44581588
44.1120137,-93.25109201
44.92898519,-93.36223002
46.59380923,-95.59316041
43.9909794,-96.32323883
45.99052533,-95.95790188
48.59480202,-93.43177034
44.99230321,-93.33367574
44.74725173,-92.87328312
44.95588753,-93.09495164
44.45408513,-93.91525319
44.84316552,-93.79237948
44.61067394,-94.08523753
44.34975255,-93.97244919
47.772971,-96.61795594
46.52971167,-93.69844552
47.52633353,-95.40221803
47.5033919,-94.89991712
44.70782153,-96.27844799
43.62441169,-95.00450103
43.67200224,-96.21058073
48.10253762,-96.1836324
45.80907486,-96.50129101
44.23229821,-95.60733268
44.0456081,-95.43934259
43.62244441,-95.5984722
44.29951091,-94.72860443
45.57466059,-94.16909113
44.38778872,-92.04738659
46.29153524,-96.58842883
44.771263,-93.50289728
45.96688176,-94.3625669
44.94855495,-93.0999002
46.91595709,-95.06227361
46.79710125,-92.08739077
45.58489854,-95.90503045
45.31435721,-95.60903789
46.4456534,-95.13440141
44.94337981,-93.10714494
43.63395926,-94.10031171
47.40883706,-92.92989836
44.96773393,-93.23807517
45.87477744,-93.29120901
43.87910241,-95.11331123
44.03345769,-91.62296063
33.40346563,-91.05089815
32.40930168,-88.67599657
34.78709887,-89.41665948
32.37115474,-88.70007004
32.36843764,-88.69903542
33.06586615,-89.59836339
32.739439,-89.517516
32.8588947,-90.40425941
34.65778485,-88.56613194
33.8708532,-89.31837329
34.96986475,-89.99816568
33.52528491,-88.42782379
34.34799,-89.529729
34.49783221,-89.02806743
31.1458664,-90.45959046
33.74891062,-90.70841447
32.33159686,-90.10023004
33.31994427,-89.18268334
31.94631084,-90.98471094
31.8713551,-90.41463576
31.63722205,-89.55474347
33.41066929,-91.03480768
33.40348705,-91.05056502
33.09746861,-89.06731116
32.37605729,-88.72646197
30.36741843,-89.11603598
31.08209929,-91.0588784
31.31857979,-89.32959247
31.47318095,-90.88440552
30.44409012,-89.09343366
30.92192447,-88.59393837
33.97772925,-88.47660447
31.15399173,-88.56278243
33.5178092,-90.19915962
30.392244,-88.99959226
30.446688,-89.098263
32.03053361,-88.72595896
30.55006281,-89.66513169
33.11168955,-90.03073131
31.97702901,-89.29131849
31.70499058,-91.0680515
31.59463819,-89.8722649
32.77782229,-88.67962197
31.58916309,-90.45781796
32.57587486,-89.10376033
31.55407036,-90.0998427
31.87118017,-89.72902186
34.9353131,-88.55982341
31.25599595,-89.8055791
33.91843957,-90.49900793
30.36767541,-89.11556961
30.39593868,-88.88975065
32.28776853,-90.25451918
32.58137191,-90.08319563
31.52748985,-91.3917923
32.28664299,-90.0347478
32.32533746,-90.1054109
32.37437276,-90.82452733
31.32607396,-89.36646237
32.32965119,-90.10133418
34.92264456,-89.79202702
32.3147564,-90.17944559
32.32835321,-90.17223839
32.2413923,-90.06975006
33.82018241,-88.54024448
32.75696071,-89.10626096
34.24195934,-88.71644811
34.23760657,-88.67182751
33.7344354,-90.54545455
34.19596032,-90.55221628
33.61939639,-88.66237784
33.1222328,-88.55860538
32.24240149,-90.06874145
30.41413522,-88.78071444
33.47617386,-88.82060544
30.31677449,-89.35433795
34.30629814,-89.91460188
34.96098244,-89.8456803
32.00013987,-89.51948724
30.8565401,-89.54201063
31.34633998,-88.93772537
34.24296044,-88.99617961
32.31909412,-90.88172344
32.36806826,-88.69906394
32.37003789,-88.69753011
32.36603131,-89.47023244
32.34409674,-89.67257121
32.31526259,-90.17903678
30.36996901,-89.11611762
32.38977004,-90.14337561
32.90473853,-90.88455527
31.96907265,-89.88649447
30.37639407,-88.53344391
31.68495223,-89.1407941
31.16660224,-89.42521313
33.45751995,-90.65019353
31.25101023,-90.47395559
32.33256579,-90.16485667
30.84486814,-89.11577106
34.00405634,-90.05883233
32.36961231,-88.6972544
34.73938981,-88.95024734
32.35620681,-89.12786608
33.8942266,-88.98532759
33.4909256,-89.73855166
32.32947228,-90.17314608
33.76223436,-89.81747987
31.12037143,-90.15576773
31.67311763,-88.63391303
33.53392561,-89.26635699
32.24280574,-90.07024536
33.09800509,-89.06011088
34.13125561,-89.6420887
38.63567447,-90.26471606
38.63637879,-90.26458281
38.65387831,-90.27550162
38.79360505,-90.57961531
38.67622289,-90.46799797
38.24902844,-94.34288588
38.96381088,-94.36088203
38.81581302,-94.50300191
38.94929679,-92.31581308
38.69957445,-93.22158611
39.73043495,-94.21805603
38.56579236,-92.18179252
39.37691208,-93.49339038
38.66507203,-94.37749675
37.86022532,-94.01701241
39.0850532,-94.57242476
39.0495448,-94.34890382
38.7149685,-90.67188926
39.00701847,-92.32154702
39.08408463,-94.5772711
38.77998254,-90.33657815
38.77658169,-90.24035806
37.6264835,-93.42011395
40.3494741,-95.3947732
37.50569644,-94.30084527
36.65061008,-93.22186944
37.1507277,-93.27958382
37.22478249,-93.28996378
37.14494625,-93.27967732
36.92700362,-93.93074698
38.9243011,-94.4811889
38.19247494,-94.02125496
39.36294827,-94.23792638
39.09149817,-93.21315913
37.05075263,-94.50700683
37.05273128,-94.52679809
36.86695396,-94.36946792
38.84713525,-91.93786546
38.38967893,-93.768801
39.71061214,-91.45053843
40.26453881,-94.02565859
38.68670484,-90.31398807
37.84596516,-94.3758349
39.8171416,-93.55101621
38.69307813,-91.44958555
37.62312389,-90.64471795
38.64307325,-90.26312421
39.21928776,-94.58726916
38.50742341,-90.38001855
39.18972877,-93.87727791
38.12063059,-92.68304349
